STT,CID,SMILES,IC50 (uM),"1,3-diphenylurea",1H-indazole,Beta-carboline,Dihydropyridine,Furan,"Imidazo(2,1-b)thiazole",Imidazole,Indole,Isoquinoline,"Naphtho(2,3-d)imidazole-4,9-dione","Naphtho(2,3-d)thiazole-4,9-dione",Naphthoquinone,Quinoline,Quinone,Quinoxaline,Thiohydantoin,Thiophene,Triazole,Tryptophan,"1H-indole-4,7-dione","5H-imidazo(5,1-a)isoindole",Brassinin,Tryptanthrin,"3-(1H-indol-3-yl)pyrrolidine-2,5-dione",Other
1979,141744796,C1=CC=C(C=C1)C[C@H](C(=O)NC2=CC=C(C=C2)C(F)(F)F)NC3=CC(=O)C4=CC=CC=C4C3=O,"6,78",,,,,,,,,,,,x,,,,,,,,,,,,,
1980,141744797,C1=CC=C(C=C1)C[C@H](C(=O)NC2=CC=CC(=C2)C(F)(F)F)NC3=CC(=O)C4=CC=CC=C4C3=O,10,,,,,,,,,,,,x,,,,,,,,,,,,,
1981,141744798,C1=CC=C(C=C1)C[C@H](C(=O)NC2=CC(=CC(=C2)F)F)NC3=CC(=O)C4=CC=CC=C4C3=O,10,,,,,,,,,,,,x,,,,,,,,,,,,,
1982,141744799,COC1=CC(=CC(=C1)NC(=O)[C@@H](CC2=CC=CC=C2)NC3=CC(=O)C4=CC=CC=C4C3=O)OC,"4,84",,,,,,,,,,,,x,,,,,,,,,,,,,
1983,141744800,CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)ONC2=CC(=N[C@H](CC3=CC=CC=C3)C(=O)NC4=CC=CC(=C4)C(F)(F)F)C(=O)C5=CC=CC=C52,"9,6",,,,,,,,,,,,,,,,,,,,,,,,,x
1984,141744801,C1=CC=C(C=C1)C[C@H](C(=O)NC2=CC=C(C=C2)F)NC3=C(C4=CC=CC=C4C(=C3)N=O)O,"0,078",,,,,,,,,,,,,,,,,,,,,,,,,x
1985,141744802,C1=CC=C(C=C1)C[C@H](C(=O)NC2=CC=C(C=C2)Br)NC3=C(C4=CC=CC=C4C(=C3)N=O)O,"0,16",,,,,,,,,,,,,,,,,,,,,,,,,x
1986,141744803,C1=CC=C(C=C1)C[C@H](C(=O)NC2=CC(=C(C=C2)F)Br)NC3=CC(=O)C4=CC=CC=C4C3=O,10,,,,,,,,,,,,x,,,,,,,,,,,,,
1987,141744804,CC1=CC=C(C=C1)NC(=O)[C@@H](CC2=CC=CC=C2)NC3=CC(=O)C4=CC=CC=C4C3=O,10,,,,,,,,,,,,x,,,,,,,,,,,,,
1988,141744805,C1=CC=C(C=C1)C[C@H](C(=O)NC2=CC(=CC=C2)Br)NC3=CC(=O)C4=CC=CC=C4C3=O,10,,,,,,,,,,,,x,,,,,,,,,,,,,
1989,141744806,CC1=C(C=C(C=C1)NC(=O)[C@@H](CC2=CC=CC=C2)NC3=C(C4=CC=CC=C4C(=C3)N=O)O)Cl,"6,11",,,,,,,,,,,,,,,,,,,,,,,,,x
1990,141744807,C1=CC=C(C=C1)C[C@H](C(=O)NC2=CC=CC=C2F)NC3=C(C4=CC=CC=C4C(=C3)N=O)O,"0,63",,,,,,,,,,,,,,,,,,,,,,,,,x
1991,141744808,C1=CC=C(C=C1)C[C@H](C(=O)NC2=CC(=CC=C2)F)NC3=C(C4=CC=CC=C4C(=C3)N=O)O,"0,24",,,,,,,,,,,,,,,,,,,,,,,,,x
1992,141744809,C1=CC=C(C=C1)C[C@H](C(=O)NC2=CC=CC=C2Cl)NC3=C(C4=CC=CC=C4C(=C3)N=O)O,"2,09",,,,,,,,,,,,,,,,,,,,,,,,,x
1993,141744810,COC1=CC=CC=C1NC(=O)[C@@H](CC2=CC=CC=C2)NC3=C(C4=CC=CC=C4C(=C3)N=O)O,"8,19",,,,,,,,,,,,,,,,,,,,,,,,,x
1994,141744811,COC1=CC=CC(=C1)NC(=O)[C@@H](CC2=CC=CC=C2)NC3=CC(=O)C4=CC=CC=C4C3=O,10,,,,,,,,,,,,x,,,,,,,,,,,,,
1995,141744813,CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)ONC2=CC(=N[C@H](CC3=CC=CC=C3)C(=O)NC4=CC(=CC=C4)Br)C(=O)C5=CC=CC=C52,10,,,,,,,,,,,,,,,,,,,,,,,,,x
1996,141744814,C1=CC=C(C=C1)C[C@H](C(=O)NC2=CC(=C(C=C2)Br)F)NC3=CC(=O)C4=CC=CC=C4C3=O,10,,,,,,,,,,,,x,,,,,,,,,,,,,
1997,141744815,CC1=C(C=CC(=C1)Br)NC(=O)[C@@H](CC2=CC=CC=C2)NC3=C(C4=CC=CC=C4C(=C3)N=O)O,10,,,,,,,,,,,,,,,,,,,,,,,,,x
1998,141744816,C1=CC=C(C=C1)C[C@H](C(=O)NC2=CC=C(C=C2)Cl)NC3=CC(=O)C4=CC=CC=C4C3=O,10,,,,,,,,,,,,x,,,,,,,,,,,,,
1999,141744817,C1=CC=C(C=C1)C[C@H](C(=O)NC2=CC(=C(C=C2)F)Br)NC3=C(C4=CC=CC=C4C(=C3)N=O)O,"0,074",,,,,,,,,,,,,,,,,,,,,,,,,x
2000,141744818,C1=CC=C(C=C1)C[C@H](C(=O)NC2=CC(=C(C=C2)Br)F)NC3=C(C4=CC=CC=C4C(=C3)N=O)O,"0,097",,,,,,,,,,,,,,,,,,,,,,,,,x
2001,141744820,C1=CC=C(C=C1)C[C@H](C(=O)NC2=CC=C(C=C2)Cl)NC3=C(C4=CC=CC=C4C(=C3)N=O)O,"0,082",,,,,,,,,,,,,,,,,,,,,,,,,x
2002,141744821,CC1=CC(=CC(=C1)NC(=O)[C@@H](CC2=CC=CC=C2)NC3=C(C4=CC=CC=C4C(=C3)N=O)O)C,"8,27",,,,,,,,,,,,,,,,,,,,,,,,,x
2003,141744823,CC1=CC=C(C=C1)NC(=O)[C@@H](CC2=CC=CC=C2)NC3=C(C4=CC=CC=C4C(=C3)N=O)O,"3,21",,,,,,,,,,,,,,,,,,,,,,,,,x
2004,141744824,C1=CC=C(C=C1)C[C@H](C(=O)NC2=CC=C(C=C2)F)NC3=CC(=O)C4=CC=CC=C4C3=O,10,,,,,,,,,,,,x,,,,,,,,,,,,,
2005,141744825,CC1=CC(=CC=C1)NC(=O)[C@@H](CC2=CC=CC=C2)NC3=C(C4=CC=CC=C4C(=C3)N=O)O,"1,51",,,,,,,,,,,,,,,,,,,,,,,,,x
2006,141744826,C1=CC=C(C=C1)C[C@H](C(=O)NC2=CC=CC=C2)NC3=C(C4=CC=CC=C4C(=C3)N=O)O,"3,54",,,,,,,,,,,,,,,,,,,,,,,,,x
2007,141744827,C1=CC=C(C=C1)C[C@H](C(=O)NC2=CC=C(C=C2)Br)NC3=CC(=O)C4=CC=CC=C4C3=O,10,,,,,,,,,,,,x,,,,,,,,,,,,,
2008,141744828,COC1=CC=C(C=C1)NC(=O)[C@@H](CC2=CC=CC=C2)NC3=C(C4=CC=CC=C4C(=C3)N=O)O,"0,45",,,,,,,,,,,,,,,,,,,,,,,,,x
2009,141744829,CC1=CC(=CC=C1)NC(=O)[C@@H](CC2=CC=CC=C2)NC3=CC(=O)C4=CC=CC=C4C3=O,10,,,,,,,,,,,,x,,,,,,,,,,,,,
2010,141744830,C1=CC=C(C=C1)C[C@H](C(=O)NC2=CC=CC=C2)NC3=CC(=O)C4=CC=CC=C4C3=O,10,,,,,,,,,,,,x,,,,,,,,,,,,,
2011,141744831,C1=CC=C(C=C1)C[C@H](C(=O)NC2=CC(=CC=C2)Br)NC3=C(C4=CC=CC=C4C(=C3)N=O)O,"0,95",,,,,,,,,,,,,,,,,,,,,,,,,x
2012,141744832,CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)ONC2=CC(=N[C@H](CC3=CC=CC=C3)C(=O)NC4=CC(=CC=C4)OC)C(=O)C5=CC=CC=C52,10,,,,,,,,,,,,,,,,,,,,,,,,,x
2013,141744833,COC1=CC=CC=C1NC(=O)[C@@H](CC2=CC=CC=C2)NC3=CC(=O)C4=CC=CC=C4C3=O,10,,,,,,,,,,,,x,,,,,,,,,,,,,
2014,141744834,C1=CC=C(C=C1)C[C@H](C(=O)NC2=CC=C(C=C2)C(F)(F)F)NC3=C(C4=CC=CC=C4C(=C3)N=O)O,"0,069",,,,,,,,,,,,,,,,,,,,,,,,,x
2015,141744835,C1=CC=C(C=C1)C[C@H](C(=O)NC2=CC(=CC=C2)Cl)NC3=C(C4=CC=CC=C4C(=C3)N=O)O,"0,68",,,,,,,,,,,,,,,,,,,,,,,,,x
2016,141744836,C1=CC=C(C=C1)C[C@H](C(=O)NC2=CC=CC(=C2)C(F)(F)F)NC3=C(C4=CC=CC=C4C(=C3)N=O)O,"0,09",,,,,,,,,,,,,,,,,,,,,,,,,x
2017,141744837,C1=CC=C(C=C1)C[C@H](C(=O)NC2=CC(=CC=C2)Cl)NC3=CC(=O)C4=CC=CC=C4C3=O,10,,,,,,,,,,,,x,,,,,,,,,,,,,
2018,141744838,C1=CC=C(C=C1)C[C@H](C(=O)NC2=CC=CC=C2Cl)NC3=CC(=O)C4=CC=CC=C4C3=O,10,,,,,,,,,,,,x,,,,,,,,,,,,,
2019,141744839,C1=CC=C(C=C1)C[C@H](C(=O)NC2=CC(=CC=C2)F)NC3=CC(=O)C4=CC=CC=C4C3=O,10,,,,,,,,,,,,x,,,,,,,,,,,,,
2020,141744841,COC1=CC=C(C=C1)NC(=O)[C@@H](CC2=CC=CC=C2)NC3=CC(=O)C4=CC=CC=C4C3=O,10,,,,,,,,,,,,x,,,,,,,,,,,,,
2021,141744842,CC1=C(C=C(C=C1)NC(=O)[C@@H](CC2=CC=CC=C2)NC3=CC(=O)C4=CC=CC=C4C3=O)Cl,10,,,,,,,,,,,,x,,,,,,,,,,,,,
2022,141744843,COC1=CC(=CC(=C1)NC(=O)[C@@H](CC2=CC=CC=C2)NC3=C(C4=CC=CC=C4C(=C3)N=O)O)OC,"0,046",,,,,,,,,,,,,,,,,,,,,,,,,x
2023,141744844,C1=CC=C(C=C1)C[C@H](C(=O)NC2=CC=CC=C2Br)NC3=CC(=O)C4=CC=CC=C4C3=O,10,,,,,,,,,,,,x,,,,,,,,,,,,,
2024,141744845,C1=CC=C(C=C1)C[C@H](C(=O)NC2=CC=CC=C2Br)NC3=C(C4=CC=CC=C4C(=C3)N=O)O,"2,53",,,,,,,,,,,,,,,,,,,,,,,,,x
2025,141744846,CC1=CC(=CC(=C1)NC(=O)[C@@H](CC2=CC=CC=C2)NC3=CC(=O)C4=CC=CC=C4C3=O)C,10,,,,,,,,,,,,x,,,,,,,,,,,,,
2026,141744848,C1=CC=C(C=C1)C[C@H](C(=O)NC2=CC=CC=C2F)NC3=CC(=O)C4=CC=CC=C4C3=O,10,,,,,,,,,,,,x,,,,,,,,,,,,,
2027,141744849,COC1=CC=CC(=C1)NC(=O)[C@@H](CC2=CC=CC=C2)NC3=C(C4=CC=CC=C4C(=C3)N=O)O,"0,53",,,,,,,,,,,,,,,,,,,,,,,,,x
2028,141755881,C1=CC(=C(C=C1N=C(C2=NON=C2NCCN3C=C(N=N3)COCCO)NO)Br)F,"0,028",,,,,,,,,,,,,,,,,,x,,,,,,,
2029,141760476,CCC(C1CCC(CC1)C2=C3C=C(C=CC3=NC=C2)F)NC4=NN=C(O4)C5=CC=C(C=C5)OC,"0,011",,,,,,,,,,,,,x,,,,,,,,,,,,
2030,141760479,C[C@H](C1CCC(CC1)C2=C3C=C(C=CC3=NC=C2)F)C4=NC=C(N4)C5=CC=C(C=C5)Cl,"0,011",,,,,,,x,,,,,,x,,,,,,,,,,,,
2031,141760481,C[C@H](C1CCC(CC1)C2=C3C=C(C=CC3=NC=C2)F)NC4=NN=C(O4)C5=CC=C(C=C5)OC,"0,003",,,,,,,,,,,,,x,,,,,,,,,,,,
2032,141760483,COCC(C1CCC(CC1)C2=C3C=C(C=CC3=NC=C2)F)NC4=NN=C(O4)C5=CC=C(C=C5)OC,"0,017",,,,,,,,,,,,,x,,,,,,,,,,,,
2033,141760502,C[C@H](C1CCC(CC1)C2=C3C=C(C=CC3=NC=C2)F)C4=NC=C(O4)C5=CC=C(C=C5)Cl,"0,495",,,,,,,,,,,,,x,,,,,,,,,,,,
2034,141760518,C[C@H](C1CCC(CC1)C2=C3C=C(C=CC3=NC=C2)F)C4=NC(=NN4)C5=CC=C(C=C5)Cl,"0,02",,,,,,,,,,,,,x,,,,,,,,,,,,
2035,141760521,C[C@H](C1CCC(CC1)C2=C3C=C(C=CC3=NC=C2)F)C4=NN=C(O4)C5=CC=C(C=C5)Cl,"0,239",,,,,,,,,,,,,x,,,,,,,,,,,,
2036,141760544,CCC(C1CCC(CC1)C2=C3C=C(C=CC3=NC=C2)F)C4=NC5=C(N4)C=C(C=N5)Cl,"0,004",,,,,,,x,,,,,,x,,,,,,,,,,,,
2037,141764418,CC(C)(C)OC(=O)N1CC(C1)CNC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)NO,"0,43",,,,,,,,,,,,,,,,,,,,,,,,,x
2038,141764420,C1CN(C[C@H]1CNC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)NO)S(=O)(=O)N,"0,09099333333",,,,,,,,,,,,,,,,,,,,,,,,,x
2039,141764421,C1C(CN1S(=O)(=O)N)CNC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)NO,"0,068",,,,,,,,,,,,,,,,,,,,,,,,,x
2040,141764422,C1CC(N(C1)S(=O)(=O)N)CNC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)NO,"0,214",,,,,,,,,,,,,,,,,,,,,,,,,x
2041,141764423,C1CN(CCC1CNC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)NO)S(=O)(=O)N,"0,2359",,,,,,,,,,,,,,,,,,,,,,,,,x
2042,141764424,C1CC1S(=O)(=O)N2CCC(C2)CNC3=NON=C3C(=NC4=CC(=C(C=C4)F)Br)NO,"0,141",,,,,,,,,,,,,,,,,,,,,,,,,x
2043,141764425,C1CCN(C(C1)CNC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)NO)S(=O)(=O)N,"0,2621",,,,,,,,,,,,,,,,,,,,,,,,,x
2044,141764427,C1CN(CCC1CCNC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)NO)S(=O)(=O)N,"0,119",,,,,,,,,,,,,,,,,,,,,,,,,x
2045,141764428,C1CC(CN(C1)S(=O)(=O)N)CNC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)NO,"0,19825",,,,,,,,,,,,,,,,,,,,,,,,,x
2046,141764429,CS(=O)(=O)N1CCC(C1)CNC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)NO,"0,1335",,,,,,,,,,,,,,,,,,,,,,,,,x
2047,141764430,C1COC(CN1S(=O)(=O)N)CNC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)NO,"0,206",,,,,,,,,,,,,,,,,,,,,,,,,x
2048,141764431,C1CC(N(C1)S(=O)(=O)N)CCNC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)NO,"0,151",,,,,,,,,,,,,,,,,,,,,,,,,x
2049,141764432,C1CN(CC1COC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)NO)S(=O)(=O)N,"0,628",,,,,,,,,,,,,,,,,,,,,,,,,x
2050,141764433,C1CN(C1CNC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)NO)S(=O)(=O)N,"0,133",,,,,,,,,,,,,,,,,,,,,,,,,x
2051,141764435,C1CN(C[C@@H]1CNC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)NO)S(=O)(=O)N,"0,08019333333",,,,,,,,,,,,,,,,,,,,,,,,,x
2052,141764437,C1CNCC1CNC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)NO,"0,088",,,,,,,,,,,,,,,,,,,,,,,,,x
2053,141764438,CC(C)(C)OC(=O)N1CCC(C1)CNC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)NO,"0,276",,,,,,,,,,,,,,,,,,,,,,,,,x
2054,141764439,C1CN(CC1CNC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)NO)S(=O)(=O)N,"0,0909",,,,,,,,,,,,,,,,,,,,,,,,,x
2055,142298392,C1CC2=C([C@@H]1N=C(C3=NON=C3SC[C@H](CO)O)NO)C=C(C=C2)F,"0,0942",,,,,,,,,,,,,,,,,,,,,,,,,x
2056,142298405,B(C1=CC=C(C=C1)CNC2=NON=C2C(=N[C@H]3CC4=C3C=C(C=C4)F)NO)(O)O,"0,0962",,,,,,,,,,,,,,,,,,,,,,,,,x
2057,142298411,C[Si](C)(CCCNC1=NON=C1C(=N[C@H]2CC3=C2C=C(C=C3)F)NO)O,"0,9",,,,,,,,,,,,,,,,,,,,,,,,,x
2058,142298417,B(C1=CC(=CC=C1)CNC2=NON=C2C(=N[C@H]3CC4=C3C=C(C=C4)F)NO)(O)O,"0,0499",,,,,,,,,,,,,,,,,,,,,,,,,x
2059,142298419,C1CC2=C([C@H]1N=C(C3=NON=C3SC[C@@H](CO)O)NO)C=C(C=C2)F,"15,11",,,,,,,,,,,,,,,,,,,,,,,,,x
2060,142341866,C1=CC(=C(C=C1N=C(C2=NON=C2SCCNC(=O)CS(=O)(=O)N)NO)C(F)F)F,"0,043",,,,,,,,,,,,,,,,,,,,,,,,,x
2061,142341947,C1=CC(=CC(=C1)Br)N=C(C2=NON=C2SCCNC(=O)CS(=O)(=O)N)NO,"0,01905",,,,,,,,,,,,,,,,,,,,,,,,,x
2062,142341971,CC1(CCN1)C(=O)NCCSC2=NON=C2C(=NC3=CC(=C(C=C3)F)C(F)F)NO,"0,36",,,,,,,,,,,,,,,,,,,,,,,,,x
2063,142341993,C1=CC(=C(C=C1N=C(C2=NON=C2SCCNC(=O)CS(=O)(=O)N)NO)C(F)(F)F)F,"0,0485",,,,,,,,,,,,,,,,,,,,,,,,,x
2064,142342024,C1=CC(=CC(=C1)N=C(C2=NON=C2SCCNC(=O)CS(=O)(=O)N)NO)C(F)F,"0,0735",,,,,,,,,,,,,,,,,,,,,,,,,x
2065,142342046,CC(C)(CC(=O)NCCSC1=NON=C1C(=NC2=CC(=C(C=C2)F)C(F)F)NO)O,"0,14",,,,,,,,,,,,,,,,,,,,,,,,,x
2066,142441934,C1C(C2=C1C=CC(=C2)F)N=C(C3=NON=C3OCC(=O)NCC(CO)O)NO,"0,7",,,,,,,,,,,,,,,,,,,,,,,,,x
2067,142441943,CC(C(=O)NCCO)OC1=NON=C1C(=NC2CC3=C2C=C(C=C3)F)NO,"1,669",,,,,,,,,,,,,,,,,,,,,,,,,x
2068,142471211,CC[C@H](C1CCC(CC1)C2=C(C(=NC=C2)OC)C(F)F)NC(=O)C3=CN=C(C=C3)OC,"0,00215",,,,,,,,,,,,,,,,,,,,,,,,,x
2069,142509579,CCOC(=O)N1CCC2(CC1)C[C@@H](C3=C(O2)C=CC(=C3)Br)NC(=O)C4=CC=CC5=C4NN=C5,"0,00665",,x,,,,,,,,,,,,,,,,,,,,,,,
2070,142529798,CC1=C(N2C=NC=C2S1)C(C3CCCC3)O,"0,149",,,,,,,x,,,,,,,,,,,,,,,,,,
2071,142580146,C1CC2=C(C=CC(=N2)C3(CC3)NC(=O)C4=CC=C(C=C4)F)N(C1)C5=NC(=NC=C5)C(F)(F)F,"0,163",,,,,,,,,,,,,,,,,,,,,,,,,x
2072,142580202,C1CC(C1)(C2=NC3=C(C=C2)N(CC3)C(=O)C4=CC(=CC=C4)Cl)C(=O)NC5=CC=C(C=C5)F,"0,00192",,,,,,,,,,,,,,,,,,,,,,,,,x
2073,142580242,CC1=NC=CC(=N1)N2CCCC3=C2C=CC(=N3)C4(CC4)NC(=O)C5=CC=C(C=C5)F,"0,064",,,,,,,,,,,,,,,,,,,,,,,,,x
2074,142580265,C[C@H]1C[C@]1(C2=NC3=C(C=C2)N(CCC3)C4=NC(=NC=C4)C)NC(=O)C5=CC=C(C=C5)F,"0,00455",,,,,,,,,,,,,,,,,,,,,,,,,x
2075,142580297,CC1=NC=CC(=C1)N2CCCC3=C2C=CC(=N3)[C@@H](C)NC(=O)C4=CC=C(C=C4)F,"0,089",,,,,,,,,,,,,,,,,,,,,,,,,x
2076,142580325,C1CC(C1)(C2=NC3=C(C=C2)N(CC3)C(=O)C4CC4)C(=O)NC5=CC=C(C=C5)F,"0,0185",,,,,,,,,,,,,,,,,,,,,,,,,x
2077,142580334,CC(C)CC(=O)N1CCCC2=C1C=CC(=C2)CNC(=O)C3=CC=C(C=C3)Cl,"0,016",,,,,,,,,,,,,,,,,,,,,,,,,x
2078,142580347,C1CC(C1)(C2=NC3=C(C=C2)N(CC3)C4=CC=CC=N4)C(=O)NC5=CC=C(C=C5)F,"0,0109",,,,,,,,,,,,,,,,,,,,,,,,,x
2079,142580427,CCN(C(C)C)C(=O)N1CCC2=C1C=CC(=C2)C3(CCC3)C(=O)NC4=CC=C(C=C4)Cl,"0,0033",,,,,,,,,,,,,,,,,,,,,,,,,x
2080,142580447,C1CC2=C(C=CC(=C2)CNC(=O)C3=CC=C(C=C3)Cl)N(C1)C(=O)C4=CC(=CC=C4)Cl,"0,009",,,,,,,,,,,,,,,,,,,,,,,,,x
2081,142580473,C1CC(C1)(C2=NC3=C(C=C2)N(CC3)C(=O)OC4CC4)C(=O)NC5=CC=C(C=C5)F,"0,0027",,,,,,,,,,,,,,,,,,,,,,,,,x
2082,142580560,C1CC(C1)(C2=NC3=C(C=C2)N(CC3)C4=CC=CC=N4)C(=O)NC5=CC=C(C=C5)Cl,"0,00132",,,,,,,,,,,,,,,,,,,,,,,,,x
2083,142619907,C1=CC=C(C(=C1)C2=CN=CN2CC3=CC4=C(N3)C=CC(=C4)Br)O,"0,18",,,,,,,x,x,,,,,,,,,,,,,,x,,,
2084,142619908,C1=CC=C(C=C1)CN2C=NC=C2C3=CC4=CC=CC=C4N3,"34,8",,,,,,,x,x,,,,,,,,,,,,,,x,,,
2085,142619909,C1=CC2=C(C=C1F)C=C(N2)CN3C=NC=C3C4=C(C=CC(=C4)F)O,"0,113",,,,,,,x,x,,,,,,,,,,,,,,x,,,
2086,142619910,C1=CC(=C(C(=C1)Cl)O)C2=CN=CN2CC3=CC4=C(N3)C=CC(=C4)F,"22,7",,,,,,,x,x,,,,,,,,,,,,,,x,,,
2087,142619912,C1=CC(=CC(=C1)O)C2=CN=CN2CC3=CC4=C(N3)C=CC(=C4)F,"4,64",,,,,,,x,x,,,,,,,,,,,,,,x,,,
2088,142619913,C1=CC(=C(C(=C1)Cl)C2=CN=CN2CC3=CC4=C(N3)C=CC(=C4)F)O,"44,8",,,,,,,x,x,,,,,,,,,,,,,,x,,,
2089,142619916,C1=CC(=CC=C1CN2C=NC=C2C3=CC4=C(N3)C=CC(=C4)Br)C#N,"3,81",,,,,,,x,x,,,,,,,,,,,,,,x,,,
2090,142619918,C1CCNC(C1)CN2C=NC=C2C3=CC4=C(N3)C=CC(=C4)Br,100,,,,,,,x,x,,,,,,,,,,,,,,x,,,
2091,142619919,C1=CC2=C(C=C1F)C=C(N2)CN3C=NC=C3C4=C(C=CC(=C4)Cl)O,"0,0338",,,,,,,x,x,,,,,,,,,,,,,,x,,,
2092,142619920,C1=CC=C(C=C1)CN2C=NC=C2C3=CC4=C(N3)C=CC(=C4)Br,"13,6",,,,,,,x,x,,,,,,,,,,,,,,x,,,
2093,142619921,C1=CC(=C(C=C1F)C2=CN=CN2CC3=CC4=C(N3)C=CC(=C4)Br)O,"0,1",,,,,,,x,x,,,,,,,,,,,,,,x,,,
2094,142619922,C1=CC=C(C=C1)C2=CN=CN2CC3=CC4=C(N3)C=CC(=C4)Br,"1,25",,,,,,,x,x,,,,,,,,,,,,,,x,,,
2095,142619923,C1=CC(=CC(=C1)O)CN2C=NC=C2C3=CC4=C(N3)C=CC(=C4)Br,"1,6",,,,,,,x,x,,,,,,,,,,,,,,x,,,
2096,142619924,C1=CC(=C(C=C1Cl)C2=CN=CN2CC3=CC4=C(N3)C=CC(=C4)Br)O,"0,0379",,,,,,,x,x,,,,,,,,,,,,,,x,,,
2097,142619926,C1=CC(=CC=C1CN2C=NC=C2C3=CC4=C(N3)C=CC(=C4)Br)C(F)(F)F,100,,,,,,,x,x,,,,,,,,,,,,,,x,,,
2098,142619927,C1=CC2=C(C=C1F)C=C(N2)CN3C=NC=C3C4=C(C=C(C=C4)Cl)O,21,,,,,,,x,x,,,,,,,,,,,,,,x,,,
2099,142619928,C1=CC=C(C(=C1)CN2C=NC=C2C3=CC4=C(N3)C=CC(=C4)Br)N,"50,6",,,,,,,x,x,,,,,,,,,,,,,,x,,,
2100,142619929,C1=CC(=CC=C1C2=CN=CN2CC3=CC4=C(N3)C=CC(=C4)F)O,"83,3",,,,,,,x,x,,,,,,,,,,,,,,x,,,
2101,142619931,C1=CC=C(C(=C1)C2=CN=CN2CC3=CC4=C(N3)C=CC(=C4)F)O,"0,322",,,,,,,x,x,,,,,,,,,,,,,,x,,,
2102,142619932,C1=CC=C(C=C1)C2=CN=CN2CC3=CC4=CC=CC=C4N3,"4,44",,,,,,,x,x,,,,,,,,,,,,,,x,,,
2103,142619933,C1=CC=C(C=C1)C(CN2C=NC=C2C3=CC4=C(N3)C=CC(=C4)Br)O,"19,7",,,,,,,x,x,,,,,,,,,,,,,,x,,,
2104,142752029,CCC(C1CCC(CC1)C2=C3C=C(C=CC3=NC=C2)C(F)(F)F)C4=NC5=C(N4)C=C(C=N5)Cl,"0,021",,,,,,,x,,,,,,x,,,,,,,,,,,,
2105,144460115,CC1(CCC(CC1)O)[C@@H](C[C@H]2C3=C(C=CC=C3F)C4=CN=CN24)O,"0,007",,,,,,,x,,,,,,,,,,,,,,x,,,,
2106,145256932,CN1C=C(C=N1)C2=CC=C(C=C2)NC(=O)N3CCC(CC3)C(=O)C(=NC4=CC(=C(C=C4)F)Br)NO,"0,011",,,,,,,,,,,,,,,,,,,,,,,,,x
2107,145256960,C1CN(CCC1C(=O)C(=NC2=CC(=C(C=C2)F)Br)NO)C(=O)NCC3=CC=CC=C3,"0,0355",,,,,,,,,,,,,,,,,,,,,,,,,x
2108,145720956,C[C@@H]1C(=O)N/C(=C\C2=CC=CC=C2)/C3=NC4=C(C=CC=C4O)C(=O)N13,14,,,,,,,,,,,,,,,,,,,,,,,,,x
2109,145734090,C1=CC(=C(C=C1Cl)C2=NNN=C2)N,"1,5",,,,,,,,,,,,,,,,,,x,,,,,,,
2110,145951275,C1=CC=C(C(=C1)CN2C=NC=C2C3=CC4=C(N3)C=CC(=C4)Br)O,"6,4",,,,,,,x,x,,,,,,,,,,,,,,x,,,
2111,145953593,CC1=CC=C(C=C1)CN2C=NC=C2C3=CC4=C(N3)C=CC(=C4)Br,"21,6",,,,,,,x,x,,,,,,,,,,,,,,x,,,
2112,145954041,C1CC1(CCNC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)NO)NS(=O)(=O)N,"0,013",,,,,,,,,,,,,,,,,,,,,,,,,x
2113,145959475,C1=CC=C(C=C1)C2=CC=C(C=C2)CN3C=NC=C3C4=CC5=C(N4)C=CC(=C5)Br,"34,2",,,,,,,x,x,,,,,,,,,,,,,,x,,,
2114,145964069,CN(CC(=O)NCC1=CN=C2N1C(=CS2)C3=CC=C(C=C3)Br)C(=O)CC4=CC(=CC=C4)O,"0,45",,,,,,x,x,,,,,,,,,,,,,,,,,,
2115,145964241,C1=CC(=CC=C1CC(=O)OCC(=O)NCC2=CN=C3N2C(=CS3)C4=CC=C(C=C4)Br)O,"0,2",,,,,,x,x,,,,,,,,,,,,,,,,,,
2116,145964500,C1=CC(=CC(=C1)Cl)C(=O)CN2C3=C(C=CC(=C3)Cl)OC2=O,"76,58",,,,,,,,,,,,,,,,,,,,,,,,,x
