STT,CID,SMILES,IC50 (uM),Substructure,"1,3-diphenylurea",1H-indazole,Beta-carboline,Dihydropyridine,Furan,"Imidazo(2,1-b)thiazole",Imidazole,Indole,Isoquinoline,"Naphtho(2,3-d)imidazole-4,9-dione","Naphtho(2,3-d)thiazole-4,9-dione",Naphthoquinone,Quinoline,Quinone,Quinoxaline,Thiohydantoin,Thiophene,Triazole,Tryptophan,"1H-indole-4,7-dione","5H-imidazo(5,1-a)isoindole",Brassinin,Tryptanthrin,"3-(1H-indol-3-yl)pyrrolidine-2,5-dione",Other
1885,139339140,C1=CC(=C(C=C1N=C(C2=NON=C2NOCCONC3=NON=C3C(=NC4=CC(=C(C=C4)F)Br)NO)NO)Br)F,0.0365,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1886,139339333,C1=CSC(=C1)CCONC2=NON=C2C(=NC3=CC(=C(C=C3)F)C(F)(F)F)NO,0.113,Thiophene,,,,,,,,,,,,,,,,,x,,,,,,,,
1887,139339334,C1COCCN1CCONC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)NO,0.0405,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1888,139339335,C1CC(=O)N(C1=O)CCONC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)NO,0.096,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1889,139339336,C1=CC(=C(C=C1N=C(C2=NON=C2NOCCN3C(=O)C=CC3=O)NO)Cl)F,0.045,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1890,139339337,CC(=O)NCCONC1=NON=C1C(=NC2=CC(=C(C=C2)F)Br)NO,0.162,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1891,139339341,C1=CC(=C(C=C1N=C(C2=NON=C2NOCCCC(=O)O)NO)Br)F,0.183,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1892,139339342,COC(=O)C(CCONC1=NON=C1C(=NC2=CC(=C(C=C2)F)F)NO)N,0.14,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1893,139339343,CC(C1=CC=CC=C1)N=C(C2=NON=C2NOCCNS(=O)(=O)N)NO,0.034,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1894,139339344,C1=CC(=C(C=C1N=C(C2=NON=C2NOCCC(C(=O)N)N)NO)Br)F,0.085,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1895,139339345,C1CC1(CONC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)NO)NS(=O)(=O)N,0.013,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1896,139339346,C1=CC(=C(C=C1N=C(C2=NON=C2NOCCCCNS(=O)(=O)N)NO)Br)F,0.092,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1897,139339347,COC(=O)C(CCONC1=NON=C1C(=NC2=CC(=C(C=C2)F)F)NO)NS(=O)(=O)N,0.064,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1898,139339348,C1CC1(CNS(=O)(=O)N)CONC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)NO,0.082,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1899,139339349,C1=CC(=CC=C1N=C(C2=NON=C2NOCC(CO)NS(=O)(=O)N)NO)F,0.037,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1900,139339350,C1=CC=C(C=C1)CN=C(C2=NON=C2NOCCNS(=O)(=O)N)NO,0.068,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1901,139339367,C1=CC(=C(C=C1N=C(C2=NON=C2NOCCOCCNC(=O)NC3=CC(=CC(=C3)F)F)NO)Br)F,0.072,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1902,139339368,C1=CC(=C(C=C1N=C(C2=NON=C2NOCCN)NO)Br)F,0.039,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1903,139339369,CC1=CC=C(C=C1)CCONC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)NO,0.094,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1904,139339371,C1=CC(=C(C=C1N=C(C2=NON=C2NOCCO)NO)Br)F,0.081,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1905,139339372,C1CCN(C1)CCONC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)NO,0.108,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1906,139339375,CSNC1=NON=C1C(=NC2=CC(=C(C=C2)F)Cl)NO,0.053,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1907,139339376,C1=CC(=C(C=C1N=C(C2=NON=C2NOCCNC(=O)C3=CN=C(S3)N)NO)Br)F,0.09,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1908,139339377,CCCCONC1=NON=C1C(=NC2=CC(=C(C=C2)F)Br)NO,0.08,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1909,139339378,C1CC(CCC1O)ONC2=NON=C2C(=NC3=CC(=C(C=C3)F)F)NO,0.094,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1910,139339379,C1=CC(=CC=C1C(=O)NCCONC2=NON=C2C(=NC3=CC(=C(C=C3)F)C(F)(F)F)NO)F,0.085,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1911,139339380,C1=CC=C(C=C1)OCCONC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)NO,0.12,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1912,139339381,C1=CC(=C(C=C1N=C(C2=NON=C2NOCCCO)NO)Cl)F,0.093,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1913,139339382,C1CC(CCC1N)ONC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)NO,0.184,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1914,139339383,C1CC(CNC1)ONC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)NO,0.08,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1915,139339574,C1CCC(C1)NC(=O)NCCONC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)NO,0.069,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1916,139339575,C1CC2(CCC1ONC3=NON=C3C(=NC4=CC(=C(C=C4)F)F)NO)C(=O)NC(=O)N2,0.066,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1917,139339576,CC(=O)ONC1=NON=C1C(=NC2=CC(=C(C=C2)F)Br)NO,0.092,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1918,139339577,COC(=O)CSNC1=NON=C1C(=NC2=CC=C(C=C2)F)NO,0.083,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1919,139339578,CC(C)OC(=O)NCCONC1=NON=C1C(=NC2=CC(=C(C=C2)F)Br)NO,0.032,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1920,139339579,C1=CC=C(C=C1)NC(=O)ONC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)NO,0.0475,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1921,139339580,C1=CC=C(C=C1)C(=O)ONC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)NO,0.065,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1922,139339581,C1CC(CCC1CCC(=O)NC2=CC=C(C=C2)F)ONC3=NON=C3C(=NC4=CC(=C(C=C4)F)F)NO,0.0245,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1923,139381447,C1=CC(=C(C=C1N=C(C2=NON=C2NCCS(=O)(=O)N)NO)Br)F,0.071,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1924,139507046,CS(=N)(=O)CC(=O)NCCSC1=NON=C1C(=NC2=CC(=C(C=C2)F)Br)NO,0.0375,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1925,139507088,C1=CC(=C(C=C1N=C(C2=NON=C2SCCNC(=O)CNS(=O)(=O)N)NO)C(F)F)F,0.057,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1926,139534057,C[C@@H](C1CCC2(CC1)COC3=C2C=CC(=C3)C(F)(F)F)C(=O)NC4=CC=C(C=C4)Cl,0.0045,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1927,139554032,C[C@@H](C1CCC2(CC1)COC3=C2C=C(C=N3)C(F)(F)F)C(=O)NC4=CC=C(C=C4)Cl,0.0079,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1928,139554361,C[C@H](C1CCC2(CC1)COC3=C2C=CC(=C3)C(F)(F)F)C(=O)NC4=CC=C(C=C4)Cl,0.069,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1929,140841356,CN(C1=CC=CC=C1)C2=C(SC3=CC=CC=C32)[NH],1,Thiophene,,,,,,,,,,,,,,,,,x,,,,,,,,
1930,140841358,C1=CC=C2C(=C1)C(=C(S2)[NH])SC3=CC(=CC=C3)Cl,1,Thiophene,,,,,,,,,,,,,,,,,x,,,,,,,,
1931,140841359,C1=CC(=CC(=C1)NC2=C(SC3=C2C=C(C=C3)Cl)[NH])C(F)(F)F,0.6,Thiophene,,,,,,,,,,,,,,,,,x,,,,,,,,
1932,140841364,C1=CC(=C(C=C1NC2=C(SC3=C2C=C(C=C3)Cl)[NH])C(F)(F)F)F,0.6,Thiophene,,,,,,,,,,,,,,,,,x,,,,,,,,
1933,141407088,CC1=CC=C(C=C1)SC2=CNC3=C2C=C(C=C3)Cl,200,Indole,,,,,,,,x,,,,,,,,,,,,,,x,,,
1934,141483091,COC1=CC=CC(=C1)CNC(=O)N2C3=C(C=CC(=C3)Cl)OC2=O,14.56,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1935,141483093,C1=CC=C2C(=C1)NC(=O)N2CC(C3=CC=C(C=C3)F)O,99.94,Imidazole,,,,,,,x,,,,,,,,,,,,,,,,,,
1936,141483094,COC1=CC=C(C=C1)CNC(=O)N2C3=CC=CC=C3OC2=O,31.82,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1937,141483096,C1=CC(=CC=C1CC(=O)N2C3=C(C=CC(=C3)Cl)OC2=O)F,6.4,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1938,141483097,C1=CC(=CC=C1CN2C3=C(C=CC(=C3)F)OC2=O)Cl,80.78,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1939,141483098,COC1=CC=C(C=C1)NC(=O)N2C3=C(C=CC(=C3)Cl)OC2=O,100,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1940,141483099,C1=CC(=CC(=C1)F)CN2C3=C(C=CC(=C3)F)OC2=O,28.49,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1941,141483100,C1=CC=C2C(=C1)N(C(=O)O2)C(=O)CC3=CC=C(C=C3)F,100,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1942,141484185,C1CC(CC(C1)NS(=O)(=O)N)CNC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)NO,0.043,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1943,141484186,C1CC(CCC1CCNC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)NO)NS(=O)(=O)N,0.022,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1944,141484189,C1CC(CCC1CNC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)NO)CNS(=O)(=O)N,0.045,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1945,141484190,C1CC(CC(C1)NC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)NO)CNS(=O)(=O)N,0.064,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1946,141484191,C1CC(CCC1CCNS(=O)(=O)N)NC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)NO,0.046,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1947,141484192,C1CC(CCC1CNC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)NO)NS(=O)(=O)N,0.038,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1948,141484196,C1CC(CC(C1)NC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)NO)CCNS(=O)(=O)N,0.059,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1949,141484199,C1CC(CCC1CCNS(=O)(=O)N)CNC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)NO,0.074,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1950,141486694,C1=CC=C(C(=C1)CNC2=CC(=CC3=C2C=NN3)Br)[N+](=O)[O-],8.04,1H-indazole,,x,,,,,,,,,,,,,,,,,,,,,,,
1951,141488542,CC1=CC2=C(C=C(N2)C(=O)O)C(=C1)NC3=CC(=C(C=C3)F)Cl,35.6,Indole,,,,,,,,x,,,,,,,,,,,,,,x,,,
1952,141488559,C1=CC(=C(C=C1NC2=CC(=CC3=C2C=C(N3)C(=O)O)F)Cl)F,100,Indole,,,,,,,,x,,,,,,,,,,,,,,x,,,
1953,141488589,COC1=C2C(=C(C=C1)NC3=CC(=C(C=C3)F)Cl)C=C(N2)C(=O)O,32.4,Indole,,,,,,,,x,,,,,,,,,,,,,,x,,,
1954,141488710,C1=CC(=C(C=C1NC2=C3C=C(NC3=C(C=C2)F)C(=O)O)Cl)F,40.7,Indole,,,,,,,,x,,,,,,,,,,,,,,x,,,
1955,141488727,C1=CC(=C(C=C1NC2=C3C=C(NC3=C(C=C2)Cl)C(=O)O)Cl)F,100,Indole,,,,,,,,x,,,,,,,,,,,,,,x,,,
1956,141488768,C1=CC(=C(C=C1NC2=C3C=C(NC3=C(C=C2)[N+](=O)[O-])C(=O)O)Cl)F,100,Indole,,,,,,,,x,,,,,,,,,,,,,,x,,,
1957,141488771,C1=CC2=C(C=C(N2)C(=O)O)C(=C1)NC3=CC(=C(C=C3)F)Cl,100,Indole,,,,,,,,x,,,,,,,,,,,,,,x,,,
1958,141488779,CC1=C2C(=C(C=C1)NC3=CC(=C(C=C3)F)Cl)C=C(N2)C(=O)O,100,Indole,,,,,,,,x,,,,,,,,,,,,,,x,,,
1959,141488876,C1=CC(=C(C=C1NC2=CC(=CC3=C2C=C(N3)C(=O)O)Cl)Cl)F,100,Indole,,,,,,,,x,,,,,,,,,,,,,,x,,,
1960,141501915,C1=CC=C2C(=C1)C(N3C2=CN=C3)CC(=O)NCC4=CC(=C(C=C4)F)Cl,50.9,Imidazole,,,,,,,x,,,,,,,,,,,,,,x,,,,
1961,141501916,CC(C1=CC=CC=C1)NC(=O)CC2C3=CC=CC=C3C4=CN=CN24,74.39,Imidazole,,,,,,,x,,,,,,,,,,,,,,x,,,,
1962,141501917,C1CCC(CC1)NC(=O)CC2C3=CC=CC=C3C4=CN=CN24,39.04,Imidazole,,,,,,,x,,,,,,,,,,,,,,x,,,,
1963,141501918,C1=CC=C(C=C1)CCNC(=O)CC2C3=CC=CC=C3C4=CN=CN24,14.98,Imidazole,,,,,,,x,,,,,,,,,,,,,,x,,,,
1964,141501919,CN(CC1=CC=CC=C1)C(=O)CC2C3=CC=CC=C3C4=CN=CN24,64.47,Imidazole,,,,,,,x,,,,,,,,,,,,,,x,,,,
1965,141501920,C1=CC=C2C(=C1)C(N3C2=CN=C3)C/C(=N/O)/C4=CC=C(C=C4)Cl,22.72,Imidazole,,,,,,,x,,,,,,,,,,,,,,x,,,,
1966,141501921,C1=CC=C(C=C1)NC(=O)CC2C3=CC=CC=C3C4=CN=CN24,25.93,Imidazole,,,,,,,x,,,,,,,,,,,,,,x,,,,
1967,141501922,C1=CC=C2C(=C1)C(N3C2=CN=C3)CC(=O)NCC4=CC=C(C=C4)C(=O)O,95.07,Imidazole,,,,,,,x,,,,,,,,,,,,,,x,,,,
1968,141501923,C1=CC=C2C(=C1)C(N3C2=CN=C3)CC(=O)NCC4=CC(=CC=C4)Cl,53.93,Imidazole,,,,,,,x,,,,,,,,,,,,,,x,,,,
1969,141501924,C1=CC=C2C(=C1)C(N3C2=CN=C3)CC(=O)NCC4=CC=C(C=C4)C#N,69.44,Imidazole,,,,,,,x,,,,,,,,,,,,,,x,,,,
1970,141501925,COC1=CC=CC(=C1)CCNC(=O)CC2C3=CC=CC=C3C4=CN=CN24,0.84,Imidazole,,,,,,,x,,,,,,,,,,,,,,x,,,,
1971,141501926,C1=CC=C2C(=C1)C(N3C2=CN=C3)CC(=O)NC4=CC5=C(C=C4)C=NN5,33.1,1H-indazole,,x,,,,,x,,,,,,,,,,,,,,x,,,,
1972,141501927,C1=CC=C2C(=C1)C(N3C2=CN=C3)CC(=O)NCCC4=CC=CC=N4,21.93,Imidazole,,,,,,,x,,,,,,,,,,,,,,x,,,,
1973,141501931,COC1=CC=C(C=C1)CNC(=O)CC2C3=CC=CC=C3C4=CN=CN24,77.54,Imidazole,,,,,,,x,,,,,,,,,,,,,,x,,,,
1974,141501932,C1=CC=C(C=C1)CNC(=O)CC2C3=CC=CC=C3C4=CN=CN24,60.56,Imidazole,,,,,,,x,,,,,,,,,,,,,,x,,,,
1975,141514151,C1=CC=C(C(=C1)N)NC(=O)C2=NC=C(C=C2)C(=O)NCCNC3=NON=C3C(=NC4=CC(=C(C=C4)F)Br)NO,0.2603,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1976,141531564,CC(C1=CC=C(C=C1)N2CCN(CC2)C)C3=CC4=C(C=C3)SC5=CC=CC=C5N4,10,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1977,141744794,CC1=C(C=CC(=C1)Br)NC(=O)[C@@H](CC2=CC=CC=C2)NC3=CC(=O)C4=CC=CC=C4C3=O,10,Naphthoquinone,,,,,,,,,,,,x,,,,,,,,,,,,,
1978,141744795,C1=CC=C(C=C1)C[C@H](C(=O)NC2=CC(=CC(=C2)F)F)NC3=C(C4=CC=CC=C4C(=C3)N=O)O,0.25,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1979,141744796,C1=CC=C(C=C1)C[C@H](C(=O)NC2=CC=C(C=C2)C(F)(F)F)NC3=CC(=O)C4=CC=CC=C4C3=O,6.78,Naphthoquinone,,,,,,,,,,,,x,,,,,,,,,,,,,
1980,141744797,C1=CC=C(C=C1)C[C@H](C(=O)NC2=CC=CC(=C2)C(F)(F)F)NC3=CC(=O)C4=CC=CC=C4C3=O,10,Naphthoquinone,,,,,,,,,,,,x,,,,,,,,,,,,,
1981,141744798,C1=CC=C(C=C1)C[C@H](C(=O)NC2=CC(=CC(=C2)F)F)NC3=CC(=O)C4=CC=CC=C4C3=O,10,Naphthoquinone,,,,,,,,,,,,x,,,,,,,,,,,,,
1982,141744799,COC1=CC(=CC(=C1)NC(=O)[C@@H](CC2=CC=CC=C2)NC3=CC(=O)C4=CC=CC=C4C3=O)OC,4.84,Naphthoquinone,,,,,,,,,,,,x,,,,,,,,,,,,,
1983,141744800,CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)ONC2=CC(=N[C@H](CC3=CC=CC=C3)C(=O)NC4=CC=CC(=C4)C(F)(F)F)C(=O)C5=CC=CC=C52,9.6,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1984,141744801,C1=CC=C(C=C1)C[C@H](C(=O)NC2=CC=C(C=C2)F)NC3=C(C4=CC=CC=C4C(=C3)N=O)O,0.078,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1985,141744802,C1=CC=C(C=C1)C[C@H](C(=O)NC2=CC=C(C=C2)Br)NC3=C(C4=CC=CC=C4C(=C3)N=O)O,0.16,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1986,141744803,C1=CC=C(C=C1)C[C@H](C(=O)NC2=CC(=C(C=C2)F)Br)NC3=CC(=O)C4=CC=CC=C4C3=O,10,Naphthoquinone,,,,,,,,,,,,x,,,,,,,,,,,,,
1987,141744804,CC1=CC=C(C=C1)NC(=O)[C@@H](CC2=CC=CC=C2)NC3=CC(=O)C4=CC=CC=C4C3=O,10,Naphthoquinone,,,,,,,,,,,,x,,,,,,,,,,,,,
1988,141744805,C1=CC=C(C=C1)C[C@H](C(=O)NC2=CC(=CC=C2)Br)NC3=CC(=O)C4=CC=CC=C4C3=O,10,Naphthoquinone,,,,,,,,,,,,x,,,,,,,,,,,,,
1989,141744806,CC1=C(C=C(C=C1)NC(=O)[C@@H](CC2=CC=CC=C2)NC3=C(C4=CC=CC=C4C(=C3)N=O)O)Cl,6.11,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1990,141744807,C1=CC=C(C=C1)C[C@H](C(=O)NC2=CC=CC=C2F)NC3=C(C4=CC=CC=C4C(=C3)N=O)O,0.63,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1991,141744808,C1=CC=C(C=C1)C[C@H](C(=O)NC2=CC(=CC=C2)F)NC3=C(C4=CC=CC=C4C(=C3)N=O)O,0.24,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1992,141744809,C1=CC=C(C=C1)C[C@H](C(=O)NC2=CC=CC=C2Cl)NC3=C(C4=CC=CC=C4C(=C3)N=O)O,2.09,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1993,141744810,COC1=CC=CC=C1NC(=O)[C@@H](CC2=CC=CC=C2)NC3=C(C4=CC=CC=C4C(=C3)N=O)O,8.19,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1994,141744811,COC1=CC=CC(=C1)NC(=O)[C@@H](CC2=CC=CC=C2)NC3=CC(=O)C4=CC=CC=C4C3=O,10,Naphthoquinone,,,,,,,,,,,,x,,,,,,,,,,,,,
1995,141744813,CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)ONC2=CC(=N[C@H](CC3=CC=CC=C3)C(=O)NC4=CC(=CC=C4)Br)C(=O)C5=CC=CC=C52,10,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1996,141744814,C1=CC=C(C=C1)C[C@H](C(=O)NC2=CC(=C(C=C2)Br)F)NC3=CC(=O)C4=CC=CC=C4C3=O,10,Naphthoquinone,,,,,,,,,,,,x,,,,,,,,,,,,,
1997,141744815,CC1=C(C=CC(=C1)Br)NC(=O)[C@@H](CC2=CC=CC=C2)NC3=C(C4=CC=CC=C4C(=C3)N=O)O,10,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
1998,141744816,C1=CC=C(C=C1)C[C@H](C(=O)NC2=CC=C(C=C2)Cl)NC3=CC(=O)C4=CC=CC=C4C3=O,10,Naphthoquinone,,,,,,,,,,,,x,,,,,,,,,,,,,
1999,141744817,C1=CC=C(C=C1)C[C@H](C(=O)NC2=CC(=C(C=C2)F)Br)NC3=C(C4=CC=CC=C4C(=C3)N=O)O,0.074,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
2000,141744818,C1=CC=C(C=C1)C[C@H](C(=O)NC2=CC(=C(C=C2)Br)F)NC3=C(C4=CC=CC=C4C(=C3)N=O)O,0.097,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
2001,141744820,C1=CC=C(C=C1)C[C@H](C(=O)NC2=CC=C(C=C2)Cl)NC3=C(C4=CC=CC=C4C(=C3)N=O)O,0.082,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
2002,141744821,CC1=CC(=CC(=C1)NC(=O)[C@@H](CC2=CC=CC=C2)NC3=C(C4=CC=CC=C4C(=C3)N=O)O)C,8.27,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
2003,141744823,CC1=CC=C(C=C1)NC(=O)[C@@H](CC2=CC=CC=C2)NC3=C(C4=CC=CC=C4C(=C3)N=O)O,3.21,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
2004,141744824,C1=CC=C(C=C1)C[C@H](C(=O)NC2=CC=C(C=C2)F)NC3=CC(=O)C4=CC=CC=C4C3=O,10,Naphthoquinone,,,,,,,,,,,,x,,,,,,,,,,,,,
2005,141744825,CC1=CC(=CC=C1)NC(=O)[C@@H](CC2=CC=CC=C2)NC3=C(C4=CC=CC=C4C(=C3)N=O)O,1.51,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
2006,141744826,C1=CC=C(C=C1)C[C@H](C(=O)NC2=CC=CC=C2)NC3=C(C4=CC=CC=C4C(=C3)N=O)O,3.54,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
2007,141744827,C1=CC=C(C=C1)C[C@H](C(=O)NC2=CC=C(C=C2)Br)NC3=CC(=O)C4=CC=CC=C4C3=O,10,Naphthoquinone,,,,,,,,,,,,x,,,,,,,,,,,,,
2008,141744828,COC1=CC=C(C=C1)NC(=O)[C@@H](CC2=CC=CC=C2)NC3=C(C4=CC=CC=C4C(=C3)N=O)O,0.45,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
2009,141744829,CC1=CC(=CC=C1)NC(=O)[C@@H](CC2=CC=CC=C2)NC3=CC(=O)C4=CC=CC=C4C3=O,10,Naphthoquinone,,,,,,,,,,,,x,,,,,,,,,,,,,
2010,141744830,C1=CC=C(C=C1)C[C@H](C(=O)NC2=CC=CC=C2)NC3=CC(=O)C4=CC=CC=C4C3=O,10,Naphthoquinone,,,,,,,,,,,,x,,,,,,,,,,,,,
2011,141744831,C1=CC=C(C=C1)C[C@H](C(=O)NC2=CC(=CC=C2)Br)NC3=C(C4=CC=CC=C4C(=C3)N=O)O,0.95,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
2012,141744832,CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)ONC2=CC(=N[C@H](CC3=CC=CC=C3)C(=O)NC4=CC(=CC=C4)OC)C(=O)C5=CC=CC=C52,10,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
2013,141744833,COC1=CC=CC=C1NC(=O)[C@@H](CC2=CC=CC=C2)NC3=CC(=O)C4=CC=CC=C4C3=O,10,Naphthoquinone,,,,,,,,,,,,x,,,,,,,,,,,,,
2014,141744834,C1=CC=C(C=C1)C[C@H](C(=O)NC2=CC=C(C=C2)C(F)(F)F)NC3=C(C4=CC=CC=C4C(=C3)N=O)O,0.069,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
2015,141744835,C1=CC=C(C=C1)C[C@H](C(=O)NC2=CC(=CC=C2)Cl)NC3=C(C4=CC=CC=C4C(=C3)N=O)O,0.68,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
2016,141744836,C1=CC=C(C=C1)C[C@H](C(=O)NC2=CC=CC(=C2)C(F)(F)F)NC3=C(C4=CC=CC=C4C(=C3)N=O)O,0.09,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
2017,141744837,C1=CC=C(C=C1)C[C@H](C(=O)NC2=CC(=CC=C2)Cl)NC3=CC(=O)C4=CC=CC=C4C3=O,10,Naphthoquinone,,,,,,,,,,,,x,,,,,,,,,,,,,
2018,141744838,C1=CC=C(C=C1)C[C@H](C(=O)NC2=CC=CC=C2Cl)NC3=CC(=O)C4=CC=CC=C4C3=O,10,Naphthoquinone,,,,,,,,,,,,x,,,,,,,,,,,,,
2019,141744839,C1=CC=C(C=C1)C[C@H](C(=O)NC2=CC(=CC=C2)F)NC3=CC(=O)C4=CC=CC=C4C3=O,10,Naphthoquinone,,,,,,,,,,,,x,,,,,,,,,,,,,
2020,141744841,COC1=CC=C(C=C1)NC(=O)[C@@H](CC2=CC=CC=C2)NC3=CC(=O)C4=CC=CC=C4C3=O,10,Naphthoquinone,,,,,,,,,,,,x,,,,,,,,,,,,,
2021,141744842,CC1=C(C=C(C=C1)NC(=O)[C@@H](CC2=CC=CC=C2)NC3=CC(=O)C4=CC=CC=C4C3=O)Cl,10,Naphthoquinone,,,,,,,,,,,,x,,,,,,,,,,,,,
2022,141744843,COC1=CC(=CC(=C1)NC(=O)[C@@H](CC2=CC=CC=C2)NC3=C(C4=CC=CC=C4C(=C3)N=O)O)OC,0.046,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
