STT,CID,SMILES,IC50 (uM)
2734,137293536,CS(=NC#N)(=O)/C=C/NC1=NON=C1C(=N[C@H]2CC3=C2C=C(C=C3)F)NO,0.165
2735,137293539,CS(=N)(=O)CCCNC1=NON=C1C(=N[C@H]2CC3=C2C=C(C=C3)F)NO,0.0312
2736,137293539,CS(=N)(=O)CCCNC1=NON=C1C(=N[C@H]2CC3=C2C=C(C=C3)F)NO,0.0354
2737,137293542,C[S@](=N)(=O)CCCOC1=NON=C1C(=N[C@H]2CC3=C2C=C(C=C3)F)NO,0.213
2738,137293545,C1[C@@H](C2=C1C=CC(=C2)F)N=C(C3=NON=C3NCC[S@@](=N)(=O)CCO)NO,0.0435
2739,137293548,CS(=N)(=O)N1CC(C1)OC2=NON=C2C(=N[C@H]3CC4=C3C=C(C=C4)F)NO,0.0568
2740,137293548,CS(=N)(=O)N1CC(C1)OC2=NON=C2C(=N[C@H]3CC4=C3C=C(C=C4)F)NO,0.094
2741,137293550,CS(=N)(=O)CCOCCNC1=NON=C1C(=N[C@H]2CC3=C2C=C(C=C3)F)NO,0.119
2742,137293550,CS(=N)(=O)CCOCCNC1=NON=C1C(=N[C@H]2CC3=C2C=C(C=C3)F)NO,0.154
2743,137293551,CS(=NC#N)(=O)CCNC1=NON=C1C(=N[C@H]2CC3=C2C=C(C=C3)F)NO,0.0647
2744,137293559,CS(=NC(=O)N)(=O)CCNC1=NON=C1C(=N[C@H]2CC3=C2C=C(C=C3)F)NO,0.0551
2745,137293562,C[S@](=N)(=O)CCNC1=NON=C1C(=N[C@H]2CC3=C2C=C(C=C3)F)NO,0.086
2746,137293566,CS(=N)(=O)CC(=O)N1CC(C1)OC2=NON=C2C(=N[C@H]3CC4=C3C=C(C=C4)F)NO,0.111
2747,137293566,CS(=N)(=O)CC(=O)N1CC(C1)OC2=NON=C2C(=N[C@H]3CC4=C3C=C(C=C4)F)NO,0.112
2748,137293575,CS(=N)(=O)CCCCNC1=NON=C1C(=N[C@H]2CC3=C2C=C(C=C3)F)NO,0.0471
2749,137293575,CS(=N)(=O)CCCCNC1=NON=C1C(=N[C@H]2CC3=C2C=C(C=C3)F)NO,0.0508
2750,137293576,C[S@@](=N)(=O)CCNC1=NON=C1C(=N[C@H]2CC3=C2C=C(C=C3)F)NO,0.0881
2751,137296240,CC1=C2CCC(C2=CC=C1)N=C(C3=NON=C3N)NO,6.961
2752,137296249,C1C(C2=C1C=CC(=C2)F)N=C(C3=NON=C3NCCNS(=O)(=O)N)NO,0.0503
2753,137296264,C1CC2=CC(=C(C=C2C1N=C(C3=NON=C3NCC(=O)NC[C@H](CO)O)NO)F)F,0.352
2754,137296275,C1C(C2=C1C=C(C=C2)F)N=C(C3=NON=C3NCC(=O)NCCO)NO,0.661
2755,137296280,C1C(C2=C1C=CC(=C2)F)N=C(C3=NON=C3NCC(=O)NCC(CO)O)NO,0.0563
2756,137296294,CC(C)(CNC(=O)CNC1=NON=C1C(=NC2CC3=C2C=C(C=C3)F)NO)O,0.14
2757,137296296,CS(=O)(=O)CCNC(=O)CNC1=NON=C1C(=NC2CCC3=C2C(=C(C=C3)F)F)NO,0.319
2758,137296299,C[C@H](C(=O)NCCO)NC1=NON=C1C(=NC2CC3=C2C=C(C=C3)F)NO,0.139
2759,137296301,CC(C)(CO)NC(=O)CNC1=NON=C1C(=NC2CCC3=C2C=C(C=C3)F)NO,0.0678
2760,137296303,C1CC2=CC(=C(C=C2C1N=C(C3=NON=C3NCC(=O)NCCO)NO)F)F,0.242
2761,137296304,CC(C)(CNC(=O)CNC1=NON=C1C(=NC2CCC3=C2C=C(C=C3)F)NO)O,0.058
2762,137296305,C1CC2=C(C1N=C(C3=NON=C3NCC(=O)NC[C@H](CO)O)NO)C(=C(C=C2)F)F,0.345
2763,137296306,CC(C)(CO)NC(=O)CNC1=NON=C1C(=NC2CC3=C2C=C(C=C3)F)NO,0.13
2764,137296308,CC(CNC(=O)CNC1=NON=C1C(=NC2CC3=C2C=C(C=C3)F)NO)O,0.0627
2765,137296308,CC(CNC(=O)CNC1=NON=C1C(=NC2CC3=C2C=C(C=C3)F)NO)O,0.0665
2766,137297231,C1[C@@H](C2=C1C=CC(=C2)F)N=C(C3=NON=C3NC4CC5(C4)CNC5)NO,0.114
2767,137297232,C1C(C2=C1C=CC(=C2)F)N=C(C3=NON=C3SC4CNC4)NO,0.122
2768,137297233,CN1C(=NNC1=O)CSC2=NON=C2C(=NC3CC4=C3C=C(C=C4)F)NO,1.1
2769,137297235,CCNC(=O)CSC1=NON=C1C(=NC2CCC3=C2C=C(C=C3)F)NO,0.0541
2770,137297236,C1[C@@H](C2=C1C=CC(=C2)F)N=C(C3=NON=C3SCCNS(=O)(=O)N)NO,0.016
2771,137297236,C1[C@@H](C2=C1C=CC(=C2)F)N=C(C3=NON=C3SCCNS(=O)(=O)N)NO,0.04
2772,137297236,C1[C@@H](C2=C1C=CC(=C2)F)N=C(C3=NON=C3SCCNS(=O)(=O)N)NO,0.0725
2773,137297236,C1[C@@H](C2=C1C=CC(=C2)F)N=C(C3=NON=C3SCCNS(=O)(=O)N)NO,0.074
2774,137297236,C1[C@@H](C2=C1C=CC(=C2)F)N=C(C3=NON=C3SCCNS(=O)(=O)N)NO,1.295
2775,137297238,C1CC2=C(C1N=C(C3=NON=C3N)NO)C=CC(=C2)Cl,11.96
2776,137297239,CC(C)(CNC(=O)CSC1=NON=C1C(=N[C@H]2CCC3=C2C=C(C=C3)F)NO)O,0.082
2777,137297241,C1[C@@H](C2=C1C=CC(=C2)F)N=C(C3=NON=C3SC4CN(C4)S(=O)(=O)N)NO,0.0503
2778,137297242,C1[C@H]([C@@H](C2=CC=CC=C21)N=C(C3=NON=C3N)NO)F,5.333
2779,137297246,C1[C@@H](C2=C1C=CC(=C2)F)N=C(C3=NON=C3SCCO)NO,0.0389
2780,137297247,C1CC2=C([C@H]1N=C(C3=NON=C3NCC(=O)NCCO)NO)C=C(C=C2)F,0.0539
2781,137297248,CC(C)NC(=O)CSC1=NON=C1C(=NC2CC3=C2C=CC=C3F)NO,2.204
2782,137297251,CC(=O)NCCSC1=NON=C1C(=NC2CC3=C2C=CC=C3F)NO,33.33
2783,137297252,CNC(=O)CSC1=NON=C1C(=NC2CCC3=C2C=C(C=C3)C(F)(F)F)NO,1.149
2784,137297254,C1CC2=C(C1N=C(C3=NON=C3NCCNC(=O)N)NO)C=C(C=C2)F,0.065
2785,137297254,C1CC2=C(C1N=C(C3=NON=C3NCCNC(=O)N)NO)C=C(C=C2)F,3.948
2786,137297255,C1CC1(CNC2=NON=C2C(=NC3CC4=C3C=C(C=C4)F)NO)NS(=O)(=O)N,0.22
2787,137297257,CC(C)NC(=O)CNC1=NON=C1C(=NC2CC3=C2C=C(C=C3)F)NO,0.0659
2788,137297257,CC(C)NC(=O)CNC1=NON=C1C(=NC2CC3=C2C=C(C=C3)F)NO,1.018
2789,137297259,CNC(=O)CSC1=NON=C1C(=NC2CC3=C2C=CC=C3F)NO,0.751
2790,137297260,C1[C@@H](C2=CC=CC=C21)N=C(C3=NON=C3N)NO,0.052
2791,137297260,C1[C@@H](C2=CC=CC=C21)N=C(C3=NON=C3N)NO,0.076
2792,137297261,CC(C)NC(=O)CSC1=NON=C1C(=NC2CCC3=C2C=C(C=C3)F)NO,0.103
2793,137297262,CC(C)NC(=O)CSC1=NON=C1C(=NC2CCC3=C2C=C(C=C3)C#N)NO,0.154
2794,137297262,CC(C)NC(=O)CSC1=NON=C1C(=NC2CCC3=C2C=C(C=C3)C#N)NO,100
2795,137297264,C1CC2=CC=CC=C2[C@H]1N=C(C3=NON=C3N)NO,0.243
2796,137297264,C1CC2=CC=CC=C2[C@H]1N=C(C3=NON=C3N)NO,0.373
2797,137297264,C1CC2=CC=CC=C2[C@H]1N=C(C3=NON=C3N)NO,0.373
2798,137297267,C1CC2=C(C1N=C(C3=NON=C3SCC(=O)N)NO)C=C(C=C2)F,0.0451
2799,137297267,C1CC2=C(C1N=C(C3=NON=C3SCC(=O)N)NO)C=C(C=C2)F,10.25
2800,137297268,C1CC1NC(=O)CNC2=NON=C2C(=NC3CCC4=C3C=C(C=C4)F)NO,0.0833
2801,137297268,C1CC1NC(=O)CNC2=NON=C2C(=NC3CCC4=C3C=C(C=C4)F)NO,11.18
2802,137297269,C1[C@@H](C2=C1C=CC(=C2)F)N=C(C3=NON=C3SCCNC(=O)CCO)NO,0.02
2803,137297270,C1=CC=C2C(=C1)C(C2(F)F)N=C(C3=NON=C3N)NO,23.07
2804,137297270,C1=CC=C2C(=C1)C(C2(F)F)N=C(C3=NON=C3N)NO,23.07
2805,137297271,C1CC2=C(C1N=C(C3=NON=C3SCCNS(=O)(=O)N)NO)C=C(C=C2)F,0.12
2806,137297272,C1CC2=C(C1N=C(C3=NON=C3N)NO)C=C(C=C2)F,2.467
2807,137297273,CN1C(=NNC1=O)CSC2=NON=C2C(=NC3CC4=C3C=CC=C4F)NO,0.648
2808,137297274,C1[C@H](C2=C1C=CC(=C2)F)N=C(C3=NON=C3SCCNS(=O)(=O)N)NO,1.693
2809,137297275,C1[C@@H](C2=C1C=CC(=C2)F)N=C(C3=NON=C3SCCNC(=O)[C@@H](CO)O)NO,0.0346
2810,137297276,CC(=O)NCCSC1=NON=C1C(=N[C@@H]2CCC3=CC=CC=C23)NO,11.97
2811,137297282,C1CC2=C(C1N=C(C3=NON=C3SCC(=O)NCCO)NO)C=C(C=C2)F,0.0641
2812,137297284,C1CC1NC(=O)CSC2=NON=C2C(=NC3CCC4=C3C=C(C=C4)F)NO,0.0512
2813,137297286,C1CC2=CC=CC=C2[C@@H]1N=C(C3=NON=C3N)NO,10
2814,137297286,C1CC2=CC=CC=C2[C@@H]1N=C(C3=NON=C3N)NO,100
2815,137297287,CC(=O)NCCSC1=NON=C1C(=NC2CCC3=C2C=C(C=C3F)F)NO,0.11
2816,137297287,CC(=O)NCCSC1=NON=C1C(=NC2CCC3=C2C=C(C=C3F)F)NO,11.49
2817,137297288,C1[C@@H](C2=C1C=CC(=C2)F)N=C(C3=NON=C3SCCNC(=O)[C@H](CO)O)NO,0.0502
2818,137297289,C1=CC=C2C(C(C2=C1)N=C(C3=NON=C3N)NO)F,7.432
2819,137297292,C1[C@@H](C2=C1C=CC(=C2)F)N=C(C3=NON=C3SC4CN(C4)C(=O)C(CO)O)NO,0.034
2820,137297293,CS(=O)(=O)NCCSC1=NON=C1C(=NC2CC3=C2C=CC=C3F)NO,0.51
2821,137297294,C1CC2=C([C@H]1N=C(C3=NON=C3SCCNC(=O)N)NO)C=C(C=C2)F,0.067
2822,137297295,CS(=O)(=O)NCCNC1=NON=C1C(=NC2CCC3=C2C=C(C=C3)F)NO,0.0889
2823,137297295,CS(=O)(=O)NCCNC1=NON=C1C(=NC2CCC3=C2C=C(C=C3)F)NO,4.356
2824,137297297,CC(=O)NCCSC1=NON=C1C(=N[C@H]2CC3=C2C=CC=C3Cl)NO,0.379
2825,137297299,CC(=O)NCCSC1=NON=C1C(=NC2CCC3=C2C=C(C=C3)Br)NO,0.556
2826,137297299,CC(=O)NCCSC1=NON=C1C(=NC2CCC3=C2C=C(C=C3)Br)NO,1.96
2827,137297299,CC(=O)NCCSC1=NON=C1C(=NC2CCC3=C2C=C(C=C3)Br)NO,33.14
2828,137297300,CCNC(=O)CNC1=NON=C1C(=NC2CCC3=C2C=C(C=C3)C#N)NO,1.075
2829,137297301,C1C(C2=C1C(=CC=C2)F)N=C(C3=NON=C3SCC(=O)N)NO,0.0709
2830,137297302,C1C(C2=C1C(=CC=C2)F)N=C(C3=NON=C3NCCNC(=O)N)NO,0.242
2831,137297303,C1C(C2=C1C=CC(=C2)F)N=C(C3=NON=C3SC4CN(C4)C(=O)CO)NO,0.0609
2832,137297304,CN1C(=NNC1=O)CNC2=NON=C2C(=NC3CC4=C3C=C(C=C4)F)NO,2.183
2833,137297306,C1C(C2=C1C=CC(=C2)F)N=C(C3=NON=C3SCC(=O)N)NO,0.377
2834,137297308,C1[C@@H](C2=C1C=CC(=C2)F)N=C(C3=NON=C3NCCS(=O)(=O)CCO)NO,0.0485
2835,137297309,CCNC(=O)CNC1=NON=C1C(=NC2CCC3=C2C=C(C=C3)F)NO,0.0514
2836,137297310,CC(CNC(=O)CSC1=NON=C1C(=N[C@H]2CCC3=C2C=C(C=C3)F)NO)O,0.0554
2837,137297312,CC(C)(CNC(=O)CSC1=NON=C1C(=NC2CC3=C2C=C(C=C3)F)NO)O,0.103
2838,137297313,C1CC(C2=CC=CC=C2C1)N=C(C3=NON=C3N)NO,2.748
2839,137297313,C1CC(C2=CC=CC=C2C1)N=C(C3=NON=C3N)NO,37.89
2840,137297315,C1CC2(CCC1NC3=NON=C3C(=NC4CC5=C4C=C(C=C5)F)NO)C(=O)NC(=O)N2,0.175
2841,137297316,C1C(C2=CC=CC=C21)N=C(C3=NON=C3NCCNS(=O)(=O)N)NO,0.192
2842,137297321,C1CC1(CNC2=NON=C2C(=NC3CC4=C3C=C(C=C4)F)NO)N,0.132
2843,137297322,C1CC2=C([C@H]1N=C(C3=NON=C3SC[C@H]4CNS(=O)(=O)N4)NO)C=C(C=C2)F,0.0783
2844,137297323,C[C@]1(CC2=CC=CC=C21)N=C(C3=NON=C3N)NO,1.916
2845,137297323,C[C@]1(CC2=CC=CC=C21)N=C(C3=NON=C3N)NO,16.42
2846,137297324,CC1(CC2=CC=CC=C21)N=C(C3=NON=C3N)NO,2.094
2847,137297324,CC1(CC2=CC=CC=C21)N=C(C3=NON=C3N)NO,2.094
2848,137297325,CC(CNC1=NON=C1C(=NC2CCC3=C2C=C(C=C3)F)NO)(CO)O,0.254
2849,137297327,C1CC1NC(=O)CSC2=NON=C2C(=NC3CC4=C3C=CC=C4F)NO,0.326
2850,137297327,C1CC1NC(=O)CSC2=NON=C2C(=NC3CC4=C3C=CC=C4F)NO,2.204
2851,137297328,C1C(C2=C1C=CC(=C2)F)N=C(C3=NON=C3N)NO,0.0784
2852,137297330,C1CC2=C(C1N=C(C3=NON=C3SCC(=O)NCCO)NO)C=C(C=C2)C#N,0.424
2853,137297330,C1CC2=C(C1N=C(C3=NON=C3SCC(=O)NCCO)NO)C=C(C=C2)C#N,100
2854,137297331,C1CC2=C(C1N=C(C3=NON=C3NC[C@@H](CO)O)NO)C=C(C=C2)F,0.174
2855,137297331,C1CC2=C(C1N=C(C3=NON=C3NC[C@@H](CO)O)NO)C=C(C=C2)F,21.1
2856,137297332,COCCNC(=O)NCCSC1=NON=C1C(=NC2CC3=C2C=C(C=C3)F)NO,0.0819
2857,137297332,COCCNC(=O)NCCSC1=NON=C1C(=NC2CC3=C2C=C(C=C3)F)NO,1.608
2858,137297335,CC(C)(CO)NC(=O)CSC1=NON=C1C(=NC2CC3=C2C=C(C=C3)F)NO,0.13
2859,137297336,C1C(C2=C1C=CC(=C2)F)N=C(C3=NON=C3NCCNC(=O)CC#N)NO,0.0911
2860,137297337,CC(=O)NCCSC1=NON=C1C(=N[C@@H]2CC3=C2C=C(C=C3)F)NO,2.17
2861,137297338,C1C(C2=C1C=CC(=C2)F)N=C(C3=NON=C3NC[C@H](CO)O)NO,0.0895
2862,137297341,CC(=O)NCCNC1=NON=C1C(=N[C@H]2CC3=C2C=C(C=C3)F)NO,0.026
2863,137297341,CC(=O)NCCNC1=NON=C1C(=N[C@H]2CC3=C2C=C(C=C3)F)NO,0.043
2864,137297341,CC(=O)NCCNC1=NON=C1C(=N[C@H]2CC3=C2C=C(C=C3)F)NO,0.0431
2865,137297343,C1[C@@H](C2=C1C=CC(=C2)F)N=C(C3=NON=C3SC4CN(C4)S(=O)(=O)NCCO)NO,0.0539
2866,137297344,C1CC2=C(C1N=C(C3=NON=C3N)NO)C=CC(=C2)F,2.467
2867,137297345,CC(C)(C(CSC1=NON=C1C(=NC2CCC3=C2C=C(C=C3)F)NO)O)O,0.074
2868,137297345,CC(C)(C(CSC1=NON=C1C(=NC2CCC3=C2C=C(C=C3)F)NO)O)O,0.104
2869,137297348,CNC(=O)CNC1=NON=C1C(=NC2CCC3=C2C=C(C=C3)C(F)(F)F)NO,2.275
2870,137297350,C1[C@@H](C2=C1C=CC(=C2)F)N=C(C3=NON=C3NCC(=O)NCCO)NO,0.026
2871,137297350,C1[C@@H](C2=C1C=CC(=C2)F)N=C(C3=NON=C3NCC(=O)NCCO)NO,0.049
2872,137297350,C1[C@@H](C2=C1C=CC(=C2)F)N=C(C3=NON=C3NCC(=O)NCCO)NO,0.0653
2873,137297350,C1[C@@H](C2=C1C=CC(=C2)F)N=C(C3=NON=C3NCC(=O)NCCO)NO,0.081
2874,137297350,C1[C@@H](C2=C1C=CC(=C2)F)N=C(C3=NON=C3NCC(=O)NCCO)NO,0.249
2875,137297357,CNC(=O)CSC1=NON=C1C(=NC2CCC3=C2C=C(C=C3)F)NO,0.0566
2876,137297357,CNC(=O)CSC1=NON=C1C(=NC2CCC3=C2C=C(C=C3)F)NO,10.41
2877,137297358,C1[C@@H](C2=C1C=CC(=C2)F)N=C(C3=NON=C3N)NO,0.006
2878,137297358,C1[C@@H](C2=C1C=CC(=C2)F)N=C(C3=NON=C3N)NO,0.02
2879,137297358,C1[C@@H](C2=C1C=CC(=C2)F)N=C(C3=NON=C3N)NO,0.051
2880,137297358,C1[C@@H](C2=C1C=CC(=C2)F)N=C(C3=NON=C3N)NO,0.176
2881,137297358,C1[C@@H](C2=C1C=CC(=C2)F)N=C(C3=NON=C3N)NO,0.721
2882,137297371,C1CC2=C(C1N=C(C3=NON=C3NC[C@@H](CO)N)NO)C=C(C=C2)F,8.331
2883,137297373,CC(=O)NCCSC1=NON=C1C(=N[C@@H]2CC3=C2C=CC=C3Cl)NO,1.949
2884,137297374,C1CC2=C([C@@H]1N=C(C3=NON=C3NCC(=O)NCCO)NO)C=C(C=C2)F,12.85
2885,137297375,CC1=CC2=C(CCC2N=C(C3=NON=C3N)NO)C=C1,0.791
2886,137297376,C1CC2=C([C@H]1N=C(C3=NON=C3SC[C@H](CO)O)NO)C=C(C=C2)F,0.113
2887,137297378,C1C(C2=C1C=CC(=C2)F)N=C(C3=NON=C3SCCNC(=O)N)NO,0.0982
2888,137297380,C1CC2=C(C1N=C(C3=NON=C3N)NO)C=C(C=C2)C#N,0.255
2889,137297383,CS(=O)(=O)CCC(CNC1=NON=C1C(=N[C@H]2CC3=C2C=C(C=C3)F)NO)O,0.0433
2890,137297383,CS(=O)(=O)CCC(CNC1=NON=C1C(=N[C@H]2CC3=C2C=C(C=C3)F)NO)O,0.0493
2891,137297385,C1[C@@H](C2=C1C=CC(=C2)F)N=C(C3=NON=C3NC4CC(C4)N)NO,0.0697
2892,137297386,C1CC2=C(C1N=C(C3=NON=C3N)NO)C=C(C=C2F)F,0.337
2893,137297387,CS(=O)(=O)NCC(CSC1=NON=C1C(=N[C@H]2CC3=C2C=C(C=C3)F)NO)O,0.0597
2894,137297388,CC(CNC(=O)C)NC1=NON=C1C(=N[C@H]2CC3=C2C=C(C=C3)F)NO,0.137
2895,137297389,C1C(C2=C1C=CC(=C2)F)N=C(C3=NON=C3SCC(=O)NCCO)NO,0.0728
2896,137297389,C1C(C2=C1C=CC(=C2)F)N=C(C3=NON=C3SCC(=O)NCCO)NO,1.911
2897,137297391,C1C(C2=C1C=CC(=C2)F)N=C(C3=NON=C3SCC(=O)NCC(CO)O)NO,0.097
2898,137297392,C1CC2=C([C@@H]1N=C(C3=NON=C3SC[C@@H](CO)O)NO)C=C(C=C2)F,54.58
2899,137297395,CN1C[C@H](NC1=O)CNC2=NON=C2C(=NC3CCC4=C3C=C(C=C4)F)NO,0.187
2900,137297397,CNC(=O)CSC1=NON=C1C(=NC2CC3=C2C=CC=C3Br)NO,0.41
2901,137297399,CN1C(=NNC1=O)CSC2=NON=C2C(=NC3CCC4=C3C=C(C=C4)F)NO,0.26
2902,137297400,CCNC(=O)CNC1=NON=C1C(=N[C@@H]2CC3=C2C=C(C=C3)F)NO,4.321
2903,137297401,COCCNC(=O)NCCSC1=NON=C1C(=NC2CCC3=C2C=C(C=C3)F)NO,0.0663
2904,137297401,COCCNC(=O)NCCSC1=NON=C1C(=NC2CCC3=C2C=C(C=C3)F)NO,3.498
2905,137297403,CC(=O)NCCSC1=NON=C1C(=NC2CCC3=C2C(=C(C=C3)F)F)NO,0.156
2906,137297403,CC(=O)NCCSC1=NON=C1C(=NC2CCC3=C2C(=C(C=C3)F)F)NO,38.11
2907,137297404,CNC(=O)CSC1=NON=C1C(=NC2CC3=C2C=CC=C3Cl)NO,0.632
2908,137297407,C1C(C2=C1C(=CC=C2)F)N=C(C3=NON=C3SCC(=O)NCCO)NO,0.705
2909,137297408,CC(C)NC(=O)CNC1=NON=C1C(=NC2CCC3=C2C=C(C=C3)C#N)NO,4.235
2910,137297410,COCC(=O)N1CC(C1)SC2=NON=C2C(=N[C@H]3CC4=C3C=C(C=C4)F)NO,0.0244
2911,137297411,C1CC2=C(C1N=C(C3=NON=C3NCC(=O)N)NO)C=C(C=C2)F,0.0524
2912,137297411,C1CC2=C(C1N=C(C3=NON=C3NCC(=O)N)NO)C=C(C=C2)F,11.6
2913,137297412,CS(=O)(=O)NCCNC1=NON=C1C(=NC2CC3=C2C=C(C=C3)F)NO,0.114
2914,137297414,CS(=O)(=O)CCNC1=NON=C1C(=NC2CC3=C2C=C(C=C3)F)NO,0.043
2915,137297415,C1C(C2=CC(=C(C=C21)F)F)N=C(C3=NON=C3SCC(=O)NCCO)NO,0.417
2916,137297416,C1[C@@H](C2=C1C=CC(=C2)F)N=C(C3=NON=C3SCC(CNC(=O)CO)O)NO,0.0694
2917,137297419,CC(=O)NCCSC1=NON=C1C(=NC2CCC3=C2C=C(C=C3)Cl)NO,0.0852
2918,137297422,C1CC1NC(=O)CSC2=NON=C2C(=NC3CCC4=C3C=C(C=C4)C#N)NO,0.254
2919,137297422,C1CC1NC(=O)CSC2=NON=C2C(=NC3CCC4=C3C=C(C=C4)C#N)NO,67.75
2920,137297423,C1CC2=C(C1N=C(C3=NON=C3N)NO)C=C(C=C2)Br,0.179
2921,137297426,C1CO[C@H](CN1)CNC2=NON=C2C(=N[C@H]3CC4=C3C=C(C=C4)F)NO,0.0685
2922,137297427,C1CC1NC(=O)NCCSC2=NON=C2C(=NC3CC4=C3C=C(C=C4)F)NO,0.0429
2923,137297427,C1CC1NC(=O)NCCSC2=NON=C2C(=NC3CC4=C3C=C(C=C4)F)NO,1.097
2924,137297429,CC(C)([C@@H](CNC1=NON=C1C(=NC2CCC3=C2C=C(C=C3)F)NO)O)O,0.0931
2925,137297431,C1[C@H](C2=C1C=CC(=C2)F)N=C(C3=NON=C3NCC(=O)NCCO)NO,1.347
2926,137297433,C1CC2=C([C@H]1N=C(C3=NON=C3SCC(=O)NCC(CO)O)NO)C=C(C=C2)F,0.259
2927,137297434,C1C(C2=CC(=C(C=C21)F)Cl)N=C(C3=NON=C3SCC(=O)NCCO)NO,0.261
2928,137297435,C1CC1NC(=O)CSC2=NON=C2C(=NC3CC4=C3C=C(C=C4)F)NO,0.059
2929,137297435,C1CC1NC(=O)CSC2=NON=C2C(=NC3CC4=C3C=C(C=C4)F)NO,2.759
2930,137297437,C1[C@@H](NS(=O)(=O)N1)CSC2=NON=C2C(=NC3CC4=C3C=C(C=C4)F)NO,0.209
2931,137297438,C[C@@H](CO)NC1=NON=C1C(=N[C@H]2CC3=C2C=C(C=C3)F)NO,0.176
2932,137297441,CC1(CC2=C1C=C(C=C2)F)N=C(C3=NON=C3N)NO,13.39
2933,137297442,C1[C@H](C2=C1C=CC(=C2)F)N=C(C3=NON=C3N)NO,0.0378
2934,137297442,C1[C@H](C2=C1C=CC(=C2)F)N=C(C3=NON=C3N)NO,0.853
2935,137297442,C1[C@H](C2=C1C=CC(=C2)F)N=C(C3=NON=C3N)NO,1.235
2936,137297446,CC(=O)NCCSC1=NON=C1C(=N[C@H]2CCC3=CC=CC=C23)NO,0.273
2937,137297447,CC(=O)NCCSC1=NON=C1C(=N[C@H]2CC3=C2C=C(C=C3)F)NO,0.018
2938,137297447,CC(=O)NCCSC1=NON=C1C(=N[C@H]2CC3=C2C=C(C=C3)F)NO,0.024
2939,137297447,CC(=O)NCCSC1=NON=C1C(=N[C@H]2CC3=C2C=C(C=C3)F)NO,0.0309
2940,137297447,CC(=O)NCCSC1=NON=C1C(=N[C@H]2CC3=C2C=C(C=C3)F)NO,0.035
2941,137297447,CC(=O)NCCSC1=NON=C1C(=N[C@H]2CC3=C2C=C(C=C3)F)NO,0.409
2942,137297448,C1CC2=C(C1N=C(C3=NON=C3N)NO)C=CC=C2F,1.989
2943,137297449,CC(C)NC(=O)CNC1=NON=C1C(=NC2CCC3=C2C=C(C=C3)F)NO,0.104
2944,137297449,CC(C)NC(=O)CNC1=NON=C1C(=NC2CCC3=C2C=C(C=C3)F)NO,39.35
2945,137297450,CNC(=O)CSC1=NON=C1C(=NC2CCC3=C2C=C(C=C3)Br)NO,0.542
2946,137297452,CNC(=O)CSC1=NON=C1C(=NC2CCC3=C2C=C(C=C3)C#N)NO,0.308
2947,137297452,CNC(=O)CSC1=NON=C1C(=NC2CCC3=C2C=C(C=C3)C#N)NO,100
2948,137297453,CCNC(=O)CNC1=NON=C1C(=N[C@H]2CC3=C2C=C(C=C3)F)NO,0.0497
2949,137297454,C1[C@@H](C2=C1C=CC(=C2)F)N=C(C3=NON=C3SCCNC(=O)CO)NO,0.0593
2950,137297456,C1CC(=O)C=C1NC2=NON=C2C(=NC3CC4=C3C=C(C=C4)F)NO,0.364
2951,137297457,C1C(C2=C1C=CC(=C2)F)N=C(C3=NON=C3NCCNC(=O)CO)NO,0.0653
2952,137297458,CC(C)([C@H](CNC1=NON=C1C(=NC2CCC3=C2C=C(C=C3)F)NO)O)O,0.233
2953,137297459,C1C(C2=CC=CC=C21)N=C(C3=NON=C3SCC(=O)N)NO,0.193
2954,137297460,C1CC2=C(C1N=C(C3=NON=C3NCCNS(=O)(=O)N)NO)C=C(C=C2)F,0.0978
2955,137297460,C1CC2=C(C1N=C(C3=NON=C3NCCNS(=O)(=O)N)NO)C=C(C=C2)F,5.47
2956,137297461,C1CC2=C(C1N=C(C3=NON=C3NC[C@H](CO)O)NO)C=C(C=C2)F,0.239
2957,137297461,C1CC2=C(C1N=C(C3=NON=C3NC[C@H](CO)O)NO)C=C(C=C2)F,6.919
2958,137297462,C1C(C2=C1C=CC(=C2)F)N=C(C3=NON=C3NC(=O)N)NO,0.268
2959,137297463,CCNC(=O)CSC1=NON=C1C(=NC2CC3=C2C=C(C=C3)F)NO,0.0835
2960,137297463,CCNC(=O)CSC1=NON=C1C(=NC2CC3=C2C=C(C=C3)F)NO,0.826
2961,137297464,CCNC(=O)CSC1=NON=C1C(=NC2CCC3=C2C=C(C=C3)C#N)NO,0.149
2962,137297464,CCNC(=O)CSC1=NON=C1C(=NC2CCC3=C2C=C(C=C3)C#N)NO,42.98
2963,137297467,CN1C(=NNC1=O)CNC2=NON=C2C(=NC3CCC4=C3C=C(C=C4)F)NO,33.33
2964,137297467,CN1C(=NNC1=O)CNC2=NON=C2C(=NC3CCC4=C3C=C(C=C4)F)NO,100
2965,137297468,CS(=O)(=O)NCCSC1=NON=C1C(=NC2CCC3=C2C=C(C=C3)F)NO,0.0826
2966,137297469,C1CC2=C(C1N=C(C3=NON=C3SCC(=O)N)NO)C=C(C=C2)Br,1.386
2967,137297470,C1CC2=C(C1N=C(C3=NON=C3N)NO)C=CC=C2Cl,10.11
2968,137297471,C1C(C2=CC=CC=C2C1(F)F)N=C(C3=NON=C3N)NO,4.667
2969,137297472,CNC(=O)CNC1=NON=C1C(=NC2CCC3=C2C=C(C=C3)C#N)NO,2.456
